HAVE_INDUSTRIAL_SCORE_LESS_THAN;Имеет меньше баллов промышленности, чем:;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHANGE_GOODS;Поменять товары в §Y$PROV$§W на §Y$GOOD$§W.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_LESS_TOTAL_PORTS_THAN;Иметь портов столько же или меньше, чем:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_MORE_TOTAL_PORTS_THAN;Иметь портов столько же или больше, чем:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL_AMOUNT_OF_SHIPS;Общее кол-во кораблей: §Y$COUNT$§W \n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LESS_AMOUNT_OF_SHIPS;Иметь меньше кораблей, чем: §Y$COUNT$§W \n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ibadi;Ибадиты;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_RECENTLY_LOST_WAR;Проиграл войну за последние пять лет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOT_IN_ELECTION_CAMPAIGN;НЕ принимает участие в избирательной кампании;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEACE_WE_DECLINE_2;Мы отклонили мирное предложение от;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEACE_WE_ACCEPT_2;Мы приняли мирное предложение от;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULATED_WARSCORE;Стоимость мира: $VAL$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRISIS_BACK_DOWN_WE_DECLINE_2;Мы отклонили предложение мира от;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_LESS_VASSALS_THAN;Иметь меньше вассалов, чем;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_ADMIN_EFFICIENCY_DESC2;Наша §Yэффективность управления§W определяет эффективность социальных реформ и пошлин. Наши общие расходы также увеличивают способность бороться с организованной преступностью.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADM_DESC;Расходы на администрирование позволяют вашим чиновникам работать и поддерживать здоровую бюрократию, повышая эффективность наших пошлин и скорость продвижения жителей по социальной лестнице.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO_POPS_OF_TYPE;Нет жителей такого типа в нашей стране;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAT_STOCK_DESC;Расходы на торговлю для заполнения наших национальных запасов. Включает расходы на строительство, снабжение военно-морского флота, снабжение наземных подразделений и техническое обслуживание за рубежом.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND_SUP_DESC;Расходы на государственное субсидирование фабрик. Национальные денежные резервы будут использоваться для помощи фабрикам в покупке необходимых товаров и выплате заработной платы работникам.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIST_DEFENCE;Военные расходы;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEFENCE_DESC;Военные расходы идут на оплату ваших солдат и офицеров.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOCIAL_DESC2;Бюджет социальных расходов идет на финансирование ваших социальных реформ. Количество денег, подлежащих распределению, зависит от §Yвашей эффективности управления§W.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAX_MIDDLE_DESC;Контролирует, какой процент от дохода среднего класса будет собираться в качестве налога. Слишком высокое налогообложение приведет к тому, что они будут тратить меньше денег на собственные нужды или бизнес.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIFFS_DESC;Пошлины налагают дополнительные расходы на импортируемые товары, а выручка поступает в национальную казну. Отрицательные пошлины могут использоваться, чтобы помочь субсидировать импорт в вашей стране.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precious_metal_desc;Золото, серебро, бриллианты, жемчуг и другие драгоценные товары не продаются как обычные товары, а напрямую конвертируются в деньги.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GOLD;Драгоценные товары;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_GOLD_INCOME_DESC;Доход от драгоценных товаров;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_GOLD;Драгоценные товары: §Y$VAL$§W;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDU_DESC;Бюджет на образование используется для оплаты труда интеллектуалов и влияет на грамотность.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIL_COST_DESC;Расходы на снабжение ваших военных, армии и флота. Не включает в себя расходы на строительство, зарплату или содержание провинций за рубежом.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STOCKPILE_COST_ESTIMATED;Национальный запас состоит из расходов на армию, флот, строительный бюджет и содержание заморских провинций.\nWe §Yestimate§! завтрашние закупки запаса будут стоить:;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_OVERSEAS;Обслуживание заморских территорий;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_CONSUMED_OVERSEAS;Расходы на обслуживание заморских территорий рассчитываются с учетом Национального запаса и не могут быть снижены.\NПредполагаемая стоимость потребления товаров на заморских территориях за последний день:;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_CONSUMED_MILITARY;Ориентировочная стоимость потребления военных товаров за последний день:;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_DIPL_DESC;Затраты или прибыль, полученные в результате дипломатических или мирных сделок в результате выплаченных или полученных репараций.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
congo_master;Повелитель Конго;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOMINION_OF_NOCOLOR;Доминион;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SATELLITE_OF_NOCOLOR;Сателлит;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
